Source	Sample	OTU1	OTU2	OTU3	OTU4	OTU5	OTU6	OTU7	OTU8	OTU9	OTU10	OTU11	OTU12	OTU13	OTU14	OTU15	OTU16	OTU17	OTU18	OTU19	OTU20
Seawater	Evans_2014	0.045114139	0.018045656	0	0.027068483	0	0	0.004511414	0.009022828	0	0.96544257	0.004511414	0.013534242	0.013534242	5.779121177	0.009022828	0.009022828	0	0	0.004511414	0.009022828
Seawater	Evans_2015	0.032899375	0	0	0.004699911	0	0	0.014099732	0	0	6.622174179	0	0	0	8.826432298	0.075198571	0	0	0	0.004699911	0
Seawater	Evans_2017	0.01362893	0	0.004542977	0	0	0.004542977	0	0	0	7.564055969	0	0	0	9.853716155	0.049972742	0	0	0	0	0
Seawater	Evans_2016	0.082725816	0.010340727	0	0.01551109	0	0	0	0	0	1.432190683	0	0	0	2.812677731	0	0.098236906	0.005170363	0	0	0.005170363
Seawater	RIY_2015	0.028715593	0	0	0	0	0	0.004102228	0	0	18.4764327	0	0	0	10.41145342	0.004102228	0.03281782	0	0	0	0
Seawater	RIY_2016	0.056704344	0.015121158	0.011340869	0.026462027	0.015121158	0.00378029	0.007560579	0	0.00378029	7.118285261	0.00378029	0.00378029	0.00378029	4.57415038	0.00378029	0.007560579	0.007560579	0.00378029	0.00378029	0
Seawater	RIY_2016B	0.055619732	0	0	0.008556882	0.004278441	0	0	0.008556882	0	19.1888076	0	0.004278441	0	10.73032987	0.008556882	0.008556882	0	0	0	0
Seawater	RIY_2017	0.010790202	0	0	0.010790202	0	0	0	0	0	7.463223393	0	0	0	9.624860627	0	0.136675898	0	0.007193468	0	0
Tsitsikamma favus	TIC2012_057	35.89391555	0.073669759	1.664266818	4.011653216	0.006697251	0.164082644	0.013394502	0.274587282	0.023440378	0.291330409	0.036834879	29.90322473	0.016743127	0.063623882	0.097110136	0.026789003	0.2109634	0.003348625	0.006697251	0.003348625
Tsitsikamma favus	TIC2014_001	62.22347869	0.120149834	1.865856244	6.912149268	0.007067637	0.007067637	0.007067637	0.537140434	0.035338186	0.113082197	0	0.212029119	0	0.07774401	0	0.643154993	0.098946922	0	0.007067637	0.007067637
Tsitsikamma favus	TIC2015_013	60.2034498	3.905351614	1.862007961	8.752764264	0.048651039	1.472799646	0.017691287	0.37593985	0.066342326	0.278637771	0.544007077	1.136665192	0.026536931	0.035382574	0.057496683	0.185758514	0.106147722	0.110570544	0.013268465	0.004422822
Tsitsikamma favus	TIC2016_050A	62.77788819	0.176031345	7.276908662	5.729536356	0.014196076	1.479231141	0	0.349223475	0.300956816	0.11924704	0.017035291	0.068141166	0.022713722	0.019874507	0	0.553646972	0.036909798	0	0.017035291	0
Tsitsikamma favus	TIC2016_050AD	55.60651227	0.372620958	7.251777115	3.817931667	0	0.137583123	0	1.066269204	0.01719789	0.292364137	0.034395781	0.120385233	0	0.040128411	0	2.980967668	0	0	0.00573263	0
Tsitsikamma favus	TIC2016_050AH	41.26906705	2.097374956	2.447676481	4.004079461	0	4.376551969	0	0.004434197	0.097552324	0.243880809	0.177367861	0.044341965	0	0.093118127	0.053210358	3.644909542	0.08868393	0.004434197	0	0
Tsitsikamma favus	TIC2016_050AW	56.08840525	0.430216374	1.999240795	5.255388249	0	0.62845333	0	0.721245097	0.012653423	0.324771184	0.029524653	0.303682146	0.004217808	0.143405458	0.012653423	4.90531022	0	0	0.008435615	0
Tsitsikamma favus	TIC2016_050B	60.39175124	0.491305191	3.626608055	4.447604887	0	3.161161032	0.006464542	0.265046221	0.09696813	0.265046221	0.025858168	0.187471718	0.006464542	0.071109962	1.325231107	1.667851833	0	0	0.006464542	0
Tsitsikamma favus	TIC2016_050C	41.13660063	0.399721933	0.104275287	2.850191171	0.017379214	0.260688217	0.017379214	0.034758429	0.104275287	0.121654501	0.052137643	0.573514077	0	0.086896072	0	8.411539798	0.191171359	0	0	0
Tsitsikamma favus	TIC2016_050D	33.41798141	4.570996326	7.764210071	1.783012751	0	1.426410201	0	0.923924789	0.210719689	0.129673655	0.237735033	3.663280743	0.016209207	0.032418414	0.010806138	6.013615734	0.032418414	0	0.021612276	0
Tsitsikamma favus	TIC2018_003A	33.91259544	0.936812029	15.29345637	3.822193077	0.096023233	5.058784955	0	4.693428264	0.110075413	0.690898871	0.072602932	0.00234203	0.00468406	0.01405218	1.918122629	0.117101504	0.00702609	0	0	0
Tsitsikamma favus	TIC2018_003B	35.92368753	0.60887606	14.72578026	3.99603103	0.108244633	5.263395273	0	4.514703229	0.126285405	0.856936677	0.049612123	0.099224247	0.013530579	0.013530579	2.115280534	0.162366949	0.013530579	0	0	0
Tsitsikamma favus	TIC2018_003C	35.5293591	0.578228755	15.59352384	3.756621652	0.063418638	5.222711333	0	4.696709692	0.070879654	0.6453779	0.05968813	0.033574573	0.007461016	0	1.988360815	0.134298291	0.007461016	0	0	0
