Sample	Source	OTU1	OTU2	OTU3	OTU4	OTU5	OTU6	OTU7	OTU8	OTU9	OTU10	OTU11	OTU12	OTU13	OTU14	OTU15	OTU16	OTU17	OTU18	OTU19	OTU20
Evans_2014	Seawater	0.085716864	0.031579897	0.013534242	0	1.213570333	0	0.013534242	7.520526933	0.013534242	18.99756384	1.714337273	0.004511414	0.018045656	0.130831002	0.013534242	0	0	0.018045656	0.157899486	0.433095732
Evans_2015	Seawater	0.046999107	0.018799643	0	0	7.867650515	0	0	10.73459604	0	4.916106594	3.759928561	0	0.173896696	0.004699911	0.004699911	0	0	0	0.004699911	0.023499554
Evans_2017	Seawater	0.01362893	0	0.009085953	0	8.908777031	0	0	11.434672	0	2.689442122	3.634381247	0.004542977	0.172633109	0.004542977	0	0.009085953	0	0.009085953	0.536071234	0.031800836
Evans_2016	Seawater	0.098236906	0.010340727	0	0	1.897523396	0	0	3.288351171	0	7.062716509	2.130189752	0.005170363	0.005170363	0.020681454	0.113747996	0	0	0.005170363	44.63574789	0.108577633
RIY_2015	Seawater	0.036920048	0.012306683	0	0	26.63986545	0	0	16.36378554	0	0.918898962	3.093079542	0	0.004102228	0	0.041022275	0	0	0.004102228	0.028715593	0.024613365
RIY_2016	Seawater	0.094507239	0.026462027	0.018901448	0.015121158	10.56590935	0.00378029	0.007560579	11.29172495	0.00378029	1.84478131	2.207689109	0.007560579	0.011340869	0.00378029	0.007560579	0	0	0.00378029	0.030242317	0.030242317
RIY_2016B	Seawater	0.077011937	0	0.008556882	0.004278441	26.7659265	0	0.004278441	17.13943439	0.004278441	0.770119369	3.328627048	0	0.012835323	0.004278441	0.008556882	0	0	0	0.025670646	0.017113764
RIY_2017	Seawater	0.028773873	0	0.003596734	0	8.70409668	0	0	11.40524404	0	4.862784592	5.815919145	0	0	0.089918354	0.158256303	0	0	0	0.007193468	0.017983671
TIC2012_057	Tsitsikamma favus	41.58323008	0.13059639	2.283762515	0.006697251	0.368348793	0.030137629	33.32217125	0.073669759	0.016743127	0.083715635	0.063623882	0.475504805	0.113853263	0.030137629	0.030137629	0	0.378394669	0.006697251	0.003348625	0.063623882
TIC2014_001	Tsitsikamma favus	72.45034985	0.15548802	2.756378543	0.007067637	0.18375857	0.035338186	0.226164393	0.098946922	0.007067637	1.92946498	0.127217471	0.240299668	0.007067637	7.548236624	0.692628454	0	0.49473461	0.007067637	0.848116475	0.579546258
TIC2015_013	Tsitsikamma favus	72.29544449	4.679345422	4.219371959	0.061919505	0.305174701	0.092879257	1.309155241	0.035382574	0.030959752	0.035382574	0.128261831	0.384785493	0.097302079	1.318000885	0.203449801	0	0.650154799	0.008845644	0.066342326	0.035382574
TIC2016_050A	Tsitsikamma favus	72.57034156	0.215780358	10.73791204	0.017035291	0.235654865	0.366258766	0.079498027	0.025552937	0.056784305	0.613270492	0.749552824	0.068141166	0	0.158996053	0.599074416	0	1.995968314	0	0	0.215780358
TIC2016_050AD	Tsitsikamma favus	62.27929374	0.42994726	9.785599633	0	0.407016739	0.028663151	0.143315753	0.074524192	0.00573263	4.689291447	0.624856684	0	0	1.157991286	3.445310709	0	1.75418482	0	0.131850493	1.484751204
TIC2016_050AH	Tsitsikamma favus	47.30400851	2.429939695	7.520397304	0	0.438985456	0.110854913	0.053210358	0.10198652	0.008868393	4.097197588	0.678432068	0.186236254	0.062078751	0.860234126	4.03068464	0	1.188364668	0	0.008868393	2.296913799
TIC2016_050AW	Tsitsikamma favus	64.42701084	0.476612257	3.766502172	0	0.447087604	0.01687123	0.358513645	0.189801341	0.008435615	3.15913788	0.670631406	0.004217808	0.012653423	1.750390147	5.626555317	0	0.679067021	0	0	1.577460036
TIC2016_050B	Tsitsikamma favus	67.90354903	0.543021527	7.847953972	0	0.407266145	0.109897214	0.19393626	0.103432672	0.012929084	2.217337902	0.672312367	0.012929084	1.648458207	0.458982481	1.945827138	0	1.364018359	0	0.006464542	0.633525115
TIC2016_050C	Tsitsikamma favus	46.68057004	0.521376434	0.486618005	0.017379214	0.15641293	0.139033716	0.625651721	0.104275287	0	1.007994439	0.260688217	0.364963504	0	1.233924227	10.20159889	0	0.15641293	0	0	5.196385123
TIC2016_050D	Tsitsikamma favus	36.90836395	4.997838772	11.50313378	0	0.199913551	0.248541171	3.906418846	0.037821483	0.037821483	1.885671061	0.653771342	0.064836827	0.010806138	2.177436784	6.921331316	0	1.658742166	0	0	2.107196888
TIC2018_003A	Tsitsikamma favus	39.04164129	1.060939622	28.31280154	0.114759474	1.056255562	0.128811654	0.00234203	0.021078271	0.00936812	0.442643684	1.271722329	0.025762331	2.194482177	0.046840601	0.133495714	0	0.763501803	0	0	0.210782706
TIC2018_003B	Tsitsikamma favus	41.191593	0.690059535	27.67003428	0.121775212	1.231282699	0.135305791	0.112754826	0.027061158	0.022550965	0.423958145	1.136568645	0.04510193	2.3317698	0.063142703	0.171387335	0	0.911058993	0	0	0.14883637
